Date,BH,all_75,all_65,all_60,all_55,TWA02
2024-04-12,24.87590345142148,19.9537980828169,12.236804026164764,14.555247379337615,4.580407696414459,20.70257206555768
2024-04-15,23.03908964682948,22.699321810563593,12.983833284679953,17.28703776284644,6.848034153388878,19.03313439721497
2024-04-16,19.721365899051424,21.873889593236562,11.627584440283426,16.572715759014155,5.398281545994933,15.844531060116074
2024-04-17,21.411509563920017,23.184010622822623,12.754870802612116,17.020558509072224,6.568387554300666,17.656919577429655
2024-04-18,21.712348887033308,24.974860099112668,14.415285821792684,18.579635760618167,8.207063878230494,18.171876392061613
2024-04-19,16.182976010082562,24.399621707434047,13.907131800377869,18.10094734187546,7.678893953437455,13.66729623178764
2024-04-22,15.83590457654378,24.108166566206922,12.81023836818214,16.905954774150622,6.568676405749197,12.992646819350352
2024-04-23,16.919577308623456,24.8516459902614,13.628442215746096,17.735341825877462,7.336085382137169,14.08732033236948
2024-04-24,20.513382404334244,25.877317794168867,14.243667424854682,18.735064003730077,8.115655347391261,17.186750978329137
2024-04-25,18.38935376038755,26.77676455121574,14.420664215105386,18.713935924854233,8.94679988986945,15.59372781953796
2024-04-26,20.109977338649166,27.008414230241677,14.747632298629219,18.996344825059438,9.235266877259447,17.125274845953054
2024-04-29,22.465574740585215,26.546433188304455,14.363659304520798,18.56917531999604,8.840479791536087,19.30824278119747
2024-04-30,21.682875580477877,27.32044162317712,15.160811415275843,19.27488107882501,9.595748074702886,18.73240198607744
2024-05-02,20.049067830012767,28.27741896370102,16.09920928311352,20.244517571496132,10.482186374217855,17.71858412177012
2024-05-03,21.091694810491713,28.93615577525752,16.697974134280784,20.941497708412328,11.170117459311822,18.34658811502714
2024-05-06,22.648671196967808,29.841065742473333,17.45047423480931,21.69651792019895,12.008475356567695,19.469980994615987
2024-05-07,23.90186894608899,30.054529591253186,17.833236701738567,22.011774130319605,12.488941803304492,20.22801615928671
2024-05-08,24.268611267404005,29.87892327555297,17.75623805513716,21.70356638129367,12.187151574148704,20.501563415564394
2024-05-09,23.65805293362948,30.00731675472514,17.76109336987455,21.80599429868247,12.276645357284242,19.68808130137758
2024-05-10,24.730757956443128,29.61447772579235,17.772887742053808,21.826008268526483,12.164283252648671,20.55001220640369
2024-05-13,26.023663754798743,30.979576593734546,19.113131136083318,23.359646722485444,13.57732926204005,21.416599578549356
2024-05-14,26.877808047675234,31.732996084063593,19.628615432021135,24.083695226178136,14.230944164961308,22.162576377500077
