日期,rsi,k,d,wr,cci,adx,acc_5,acc_10,acc_20,acc_60,acc_120,vpt,beta,y_10,y_20,y_40,y_60
2006-12-22,47.91468963121922,44.57862806701571,28.708525607674552,-33.42939481268003,115.09979481440054,30.71437266091615,1.0070099105632098,0.9672753142044108,0.9545147489304212,1.122690317812269,0.8556161395856051,0.0,1.002618,1,1,1,1
2006-12-25,48.570230898099474,50.26163159516421,31.688987616270555,-22.64150943396223,110.09359251259951,29.17161435051218,1.0033718689788054,0.965793819297004,0.978562421185372,1.0897420370594648,0.8592356687898088,0.0,1.035191,1,1,1,1
2006-12-26,47.357248837604665,56.1735812806988,35.48895169955536,-31.76100628930812,80.2575955118343,27.890138194296537,0.9981714007070585,0.9570493753718023,0.9668116273746854,1.077966908701345,0.9168929929386204,0.0,1.016453,1,1,1,1
2006-12-27,47.357248837604665,62.16174578145099,40.003328870365,-31.76100628930812,66.70784943579602,26.70019604923916,1.012233912405187,0.960086559269055,0.9547657512116317,1.069684759421664,0.9261394539323398,0.0,1.024856,1,1,1,1
2006-12-28,46.68898995660686,59.7531401228861,43.68015620829516,-36.47798742138377,48.22809857888176,25.77346541410683,0.9810291676547308,1.0209305107044613,0.969830077447694,1.1047272727272728,0.8899542383961648,0.0,1.043176,1,1,1,1
2006-12-29,51.57969122772812,62.69262139089764,47.36893742077141,-12.391930835734868,124.05946876983089,23.98259165900389,0.994783021105051,0.9827789573012502,0.9604197559028174,1.1158319487301211,0.9119420989143546,0.0,1.047962,1,1,1,1
2007-01-02,52.83010399309715,64.79492342744688,50.825511984370905,-20.763723150357944,192.60467645459445,23.17216513577463,0.9950366343653982,0.9930870083432656,0.9355575868372942,1.149839838652272,0.9036842680660324,0.0,1.060729,1,1,1,1
2007-01-03,55.34457388051697,68.97535500121506,54.46814530312641,-20.731707317073223,248.8330942132944,23.143585566118244,0.989820075757576,0.9692234848484848,0.907056607953916,1.1363419293218722,0.8680263299881299,0.0,1.050072,1,1,1,1
2007-01-04,65.4932169470572,73.98976422311708,58.28277811332115,-0.0,271.031613976706,24.5342024115612,0.9507674815235932,0.943874058863792,0.887448693022251,1.104662226450999,0.7667927614763317,0.0,1.04442,1,1,0,0
2007-01-05,68.3796483220621,78.18784691440686,62.15692378042993,-8.163265306122437,244.41005735068,26.66485002490076,0.9350241274828862,0.9345984412063708,0.8784322170776353,1.0819976771196285,0.7830169422331088,0.0,0.896332,0,0,0,0
2007-01-08,60.40198623205121,78.74167074941636,65.57322804866999,-27.891156462585045,148.1315079331446,28.10218331282732,0.9705514496873224,0.9667012328609288,0.8952046526939538,1.0810810810810811,0.8296201994483345,0.0,0.944607,1,1,0,0
2007-01-09,61.19621929086987,78.54550423249512,68.40161531240308,-24.603174603174622,101.61297483809996,28.92189222121808,0.9720556624052494,0.9652642439527688,0.9012658227848102,1.0413619744058502,0.8687315634218288,0.0,0.916999,1,1,0,0
2007-01-10,60.578769795786926,79.10255724237831,70.69451290857103,-26.19047619047621,75.74426013402208,29.50242995227271,0.9899954524783992,0.9681602408243604,0.9130533484676504,1.0046749777382014,0.9159329140461216,0.0,0.904374,1,1,0,0
2007-01-11,56.82811001206801,78.4884314112376,72.32718147154968,-37.902264600715135,60.89396169077469,30.63098365336496,1.0696980135492018,0.9813402182842388,0.9124771480804388,0.9952291135027184,0.9639978506179472,0.0,0.904763,1,1,1,0
2007-01-12,60.279668359539706,79.50259260448418,74.30212671970949,-26.33637548891789,65.26403673554566,31.67892637580776,1.0837684449489218,0.9349192100538598,0.9625620207487596,0.9983924552566712,0.9821877619446772,0.0,0.818496,1,1,0,0
2007-01-15,60.279668359539706,78.10814813916588,75.84367939453632,-26.33637548891789,67.67257730949466,32.92804825886613,1.0323159784560143,0.9688989784335984,0.9567114479274312,1.001638091077864,0.951908879983126,0.0,0.809637,1,1,0,0
2007-01-16,62.72757610125874,78.6721345350361,77.23140050529524,-15.123859191655846,80.48823633468973,34.28182669242897,1.025703523155329,0.9658273381294964,0.9319910514541384,0.9690743713215624,0.9633649932157394,0.0,0.839808,1,0,0,0
2007-01-17,65.39048215044615,80.55560336972444,78.38942534214618,-1.8970189701897089,100.74408083694198,35.84460019447015,1.004789897670368,0.975576966166256,0.9055518690555188,0.9577347491151365,0.9748825811721464,0.0,0.845915,0,0,0,0
2007-01-18,67.45414419996376,79.86430420405102,78.97687934023958,-6.912991656734187,158.19963889605395,37.79336718557052,0.9456975772765248,1.0288238542241854,0.906441717791411,0.9759816207184628,0.9536288258777766,0.0,0.86036,0,0,0,0
2007-01-19,69.397267799825,80.68063073466325,79.22615772226523,-0.0,161.41672946495854,39.69068563514603,0.9497903671132018,1.0444104134762635,0.9050535987748852,0.9643040839419812,0.9569805194805194,0.0,0.815479,0,0,0,0
2007-01-22,63.43973320598786,81.92028273372271,79.54401892069586,-15.49463647199043,114.45709525131926,41.04585212806935,0.980263852242744,1.014332965821389,0.9205617730963354,0.97890559732665,0.9557792009759072,0.0,0.75631,0,0,0,0
2007-01-23,62.18616203787608,82.48548696400442,79.93801719384679,-18.951132300357525,84.66418425044901,42.304221014355285,0.9984168865435356,1.0223056537102473,0.923853412332675,0.9425647451963244,0.9645187601957586,0.0,0.774541,0,0,0,0
2007-01-24,56.32803668915889,81.48117343883276,80.17587881349223,-36.23361144219307,18.771381823591025,41.42715724109835,1.0373550880206095,1.0391803647827067,0.9369187675070028,0.9752808988764046,0.9501790281329924,0.0,0.650884,0,0,0,0
2007-01-25,55.26971294747432,81.31430812298055,80.45846648466654,-39.57091775923719,-28.76016260162588,40.148900893207774,1.0690142375828715,1.0228145470973573,0.9491486946651534,0.9553733091916072,0.9532086912582112,0.0,0.606928,1,0,0,0
2007-01-26,52.55960113605245,78.94794567187235,80.40300179140536,-50.0,-69.29181559338421,38.223687351357775,1.0828645607961922,1.0595482546201231,0.9473564525298463,0.9452054794520548,0.9906807131280388,0.0,0.600193,1,0,0,0
2007-01-29,52.55960113605246,76.19594492289178,80.21178146977795,-53.8563829787234,-71.65498630578392,36.43598906249706,1.0547382085677195,1.047361299052774,0.9688989784335984,0.9496569920844328,0.9852465642683912,0.0,0.582987,1,0,0,0
2007-01-30,54.52274516806052,72.37806970534461,79.5823749868088,-53.3026113671275,-68.61140172728535,34.475873369907085,1.0323817639539838,1.0565110565110565,0.9817184643510056,0.9236190278785368,0.9904743004564396,0.0,0.573131,1,0,0,0
2007-01-31,55.9454393754004,67.55953437007364,78.28276808684373,-50.08237232289949,-40.232507605388605,33.13697205091017,0.9862582607783488,1.067255659856433,0.9901080159181356,0.960041088854648,0.975675937590852,0.0,0.559478,0,0,0,0
