,foreign_cap_ratio,invst_cap_ratio,foreign_cost,invst_cost,major_cost,margin_b,short_b,smr,borrow_b,ins_nbd,ins_nbv,Force_nbv,Force_nbd,y_10,y_20,y_40,y_60
2015-02-25,0.0,0.0,0.0,0.0,0.0,0.8435916002896452,1.2549019607843137,0.0,1.08338120465522,5.014422526588862,0.5860192165558019,0.0169992609016999,9.583333333333334,0.0,0.0,0.0,0.0
2015-02-26,0.0,-2.061855670103097,0.0,0.0,0.0,1.2154629907102188,1.0951008645533142,0.0,1.079307470748974,0.2627242644735822,-0.0113480527445568,-0.1533272002453235,14.084507042253522,0.0,0.0,0.0,0.0
2015-03-02,0.0,1.0526315789473717,0.0,0.0,0.0,0.996150144369586,1.0933081998114986,0.0,1.0550237731185723,2.686348193454513,0.2642558001189768,0.1540749553837001,10.380761523046091,0.0,0.0,0.0,0.0
2015-03-03,0.0,-1.041666666666663,0.0,0.0,0.0,1.0129948624962224,1.1100832562442184,0.0,1.0473131023297884,0.636106532346405,0.086778448275862,-0.0482758620689655,1.8006430868167205,0.0,0.0,0.0,0.0
2015-03-04,0.0,1.0526315789473717,0.0,0.0,0.0,0.8986301369863013,1.112123974475843,0.0,1.0237523793759828,3.297675018762264,0.4472949039264829,0.0467836257309941,1.9546247818499127,0.0,0.0,0.0,0.0
2015-03-05,0.0,-1.041666666666663,0.0,0.0,0.0,0.960469236879086,1.28,0.0,1.0192709781746645,0.5372115029124401,-0.0740775401069518,-0.0160427807486631,0.5224963715529752,0.0,0.0,0.0,0.0
2015-03-06,0.0,0.0,0.0,0.0,0.0,0.9135118497999384,1.4897260273972603,0.0,1.008791276427685,1.4514551798917577,0.220773381294964,0.2517985611510791,11.045364891518735,0.0,0.0,0.0,0.0
2015-03-09,0.0,0.0,0.0,0.0,0.0,1.0585779196856195,1.421487603305785,0.0,1.0047304269644552,2.260278471459314,-0.2598075499629904,-0.2746113989637305,7.91889007470651,0.0,0.0,0.0,0.0
2015-03-10,-0.0260892251500055,0.0,0.0,0.0,0.0,1.0138642887680938,1.5543219666931007,0.0,0.9933039126756832,1.8842455642845228,0.2638303425774877,0.0628058727569331,1.5843621399176957,0.0,0.0,0.0,0.0
2015-03-11,-0.0260960334029225,-1.0526315789473717,0.0,0.0,0.0,1.0843519302916618,1.6869300911854104,0.0,0.957386132160026,2.1807923858808107,-0.1966122202056866,-0.0072595281306715,0.2158273381294964,0.0,0.0,0.0,0.0
2015-03-12,0.0,0.0,0.0,0.0,0.0,1.1122406266818154,1.6911764705882353,0.0,0.9909781769415208,3.426845358941851,-0.4208080924855492,-0.191907514450867,2.418062636562272,0.0,0.0,0.0,0.0
2015-03-13,0.0,0.0,0.0,0.0,0.0,1.1488529254846167,1.6572237960339944,0.0,0.9885276471542078,3.461514367790372,-0.3357638888888889,-0.0810185185185185,1.1676396997497915,0.0,0.0,0.0,0.0
2015-03-16,0.0,0.0,0.0,0.0,0.0,1.1666861895279372,1.6142270861833106,0.0,0.9832197168327216,11.57414463663383,-0.4056689702833448,-0.1243953006219765,2.805923616523772,0.0,0.0,0.0,0.0
2015-03-17,0.0,0.0,0.0,0.0,0.0,0.9163977706072162,1.6492146596858637,0.0,0.9690433312876644,5.169431805329589,0.3143862433862434,0.1936507936507936,3.502392344497608,0.0,0.0,0.0,0.0
2015-03-18,0.0,0.0,0.0,0.0,0.0,0.8836053938963805,1.6135084427767354,0.0,0.9696286378690718,5.328619457413871,0.292056875449964,0.128869690424766,4.837837837837838,0.0,0.0,0.0,0.0
2015-03-19,0.0,0.0,0.0,0.0,0.0,0.9631086477144049,1.4955489614243322,0.0,0.9701153601598692,1.2889180495526558,-0.1378552278820375,0.032171581769437,0.975609756097561,0.0,0.0,0.0,0.0
2015-03-20,0.0,-1.0638297872340274,0.0,0.0,0.0,1.1024743369133092,1.409891984081865,0.0,0.9726283835061978,10.035258550906573,-0.3468360522022838,-0.1476345840130505,5.041782729805014,0.0,0.0,0.0,0.0
2015-03-23,0.0,0.0,0.0,0.0,0.0,0.9875957030090806,1.3427947598253276,0.0,0.990775468829194,1.6426553639638388,0.0474598930481283,-0.0635026737967914,2.5032938076416333,0.0,0.0,0.0,0.0
2015-03-24,0.0,-1.0752688172043,0.0,0.0,0.0,1.036422860527095,1.3305395495023573,0.0,0.9886178861788618,5.916548768493257,-0.1539707916986933,-0.0784012298232129,2.7419354838709675,0.0,0.0,0.0,0.0
2015-03-25,0.0,0.0,0.0,0.0,0.0,1.0040705563093624,1.30718954248366,0.0,0.991924300513908,10.823376401129376,-0.1399256637168141,0.0247787610619469,0.8722741433021807,0.0,0.0,0.0,0.0
2015-03-26,0.0261028452101186,-3.2608695652173947,0.0,0.0,0.0,1.2646262032393798,1.418918918918919,0.0,1.033199041256566,12.721771570648952,-0.3253531598513011,-0.1654275092936803,8.018018018018019,0.0,0.0,0.0,0.0
2015-03-27,0.1565762004175352,0.0,0.0,0.0,0.0,1.5005662514156286,0.3701899659035557,0.0,0.9706153373604997,12.428064226430298,-0.6307649253731343,-0.1354764638346728,8.724584103512015,0.0,0.0,0.0,0.0
2015-03-30,0.1823866597186141,-1.1235955056179805,0.0,0.0,0.0,1.4329049693894436,0.3641732283464567,0.0,1.029878560750343,2.757081020063668,-0.4383608815426997,-0.0902203856749311,1.7798913043478262,0.0,0.0,0.0,0.0
2015-03-31,0.0520156046813991,-17.045454545454554,0.0,0.0,0.0,1.35324563295234,0.5042016806722689,0.0,0.988495602467134,1.7975035862027466,-0.2675996553704767,-0.0396323951751866,0.9292929292929292,0.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,1.3605442176870748,0.5163853028798411,0.0,1.1053685242686715,2.758446876835197,-0.5332167832167832,-0.0437062937062937,0.9282178217821784,0.0,0.0,0.0,0.0
2015-04-02,0.0,2.7397260273972712,0.0,0.0,0.0,1.367634348467131,0.531328320802005,0.0,1.100165705978631,2.1044611870593166,-0.4442814302191465,-0.1424452133794694,2.6775067750677506,0.0,0.0,0.0,0.0
2015-04-07,0.0,-1.3333333333333308,0.0,0.0,0.0,1.4350171652770969,0.4608294930875575,0.0,1.0946682716136795,2.8779126401971675,-0.637846038114343,-0.152457372116349,2.503087690407575,0.0,0.0,0.0,0.0
2015-04-08,0.0,0.0,0.0,0.0,0.0,1.4707277730334944,0.4195070791819612,0.0,1.117353245630785,2.945584133397257,-0.4993140326975477,-0.1049046321525885,2.603550295857988,0.0,0.0,0.0,0.0
2015-04-09,0.0,1.3513513513513598,0.0,0.0,0.0,1.3922712861278317,0.2510917030567686,0.0,1.1734044246379118,1.287697057611659,-0.2754026479750779,-0.0401090342679127,0.8091123330714847,0.0,0.0,0.0,0.0
2015-04-10,0.0,0.0,0.0,0.0,0.0,1.3537664194441963,0.0,0.0,1.159585553349193,1.3743843832116278,-0.3079729835552075,-0.110415035238841,2.0028409090909087,0.0,0.0,0.0,0.0
2015-04-13,0.0259942812581126,0.0,0.0,0.0,0.0,1.203066812705367,0.0,0.0,1.148062717159625,0.4107712420888594,-0.107733889661567,0.0203987019007881,0.3376822716807367,0.0,0.0,0.0,0.0
2015-04-14,0.0,0.0,0.0,0.0,0.0,1.293276843411649,0.0,0.0,1.145851393785278,1.782361137551029,-0.3999213941416388,-0.0667408231368186,1.325478645066274,0.0,0.0,0.0,0.0
2015-04-15,0.0,-1.3333333333333308,0.0,0.0,0.0,1.3435076307230425,0.0,0.0,1.1407822506861849,1.861009596524772,-0.5439686924493554,-0.083793738489871,1.3392200147167037,0.0,0.0,0.0,0.0
2015-04-16,-0.0259875259875252,0.0,0.0,0.0,0.0,1.2947958237594228,0.3162055335968379,0.0,1.120561223527637,0.6128917330035932,-0.3102719033232628,0.0196374622356495,0.1808695652173913,0.0,0.0,0.0,0.0
2015-04-17,-0.0779828437743712,0.0,0.0,0.0,0.0,1.2820911778434727,0.379965457685665,0.0,1.0780703885763414,0.932379734021947,-0.5831925734024179,-0.1260794473229706,0.9125,0.0,0.0,0.0,0.0
2015-04-20,-0.0260145681581613,0.0,0.0,0.0,0.0,1.259878076315195,0.4360189573459715,0.0,1.0684647302904564,0.9137634848638052,-0.2082928009679371,0.0114942528735632,0.2385436283741368,0.0,0.0,0.0,0.0
2015-04-21,0.0,0.0,0.0,0.0,0.0,1.2241461361057218,0.3793466807165437,0.0,1.0088179525413743,0.3987992395781748,-0.2901655306718598,-0.0642648490749756,0.4298274177792249,0.0,0.0,0.0,0.0
2015-04-22,0.0,-1.3513513513513489,0.0,0.0,0.0,1.1279749180561494,0.3333333333333333,0.0,0.9868059373282024,0.3452955736000199,-0.146230598669623,0.0432372505543237,0.5383022774327122,0.0,0.0,0.0,0.0
2015-04-23,0.104085349986982,0.0,0.0,0.0,0.0,1.0580941766508778,0.5191256830601093,0.0,0.971011980254934,0.0685747382829734,-0.0290162192393736,-0.0229306487695749,0.2890377158970744,0.0,0.0,0.0,0.0
2015-04-24,0.6498570314530827,0.0,0.0,0.0,0.0,0.845622357430133,0.6119162640901771,0.0,0.9704380689354436,1.185699837397822,0.334664536741214,0.0742811501597444,1.3885778275475924,0.0,0.0,0.0,0.0
2015-04-27,0.387396694214881,0.0,0.0,0.0,0.0,0.7581537615561742,0.77079107505071,0.0,0.9874799706689118,0.1532668897418351,-0.0608437314319667,0.0190136660724896,0.290644868301544,0.0,0.0,0.0,0.0
2015-04-28,0.6688963210702559,0.0,0.0,0.0,0.0,0.7439764257236956,0.8421052631578947,0.0,0.9874656068480588,0.1299195113033089,-0.0868014268727705,0.0927467300832342,0.9443099273607748,0.0,0.0,0.0,0.0
2015-04-29,1.0733452593917558,0.0,0.0,0.0,0.0,0.7363893842442043,0.8733624454148472,0.0,1.0976315297594146,0.2570017376483429,-0.1482277121374865,-0.0526315789473684,0.6242038216560509,0.0,0.0,0.0,0.0
2015-04-30,0.7838179519595423,0.0,0.0,0.0,0.0,0.7545045045045046,0.9813084112149534,0.0,1.0736128833546,0.5702216091105339,-0.2129237288135593,-0.019774011299435,0.3662524525833878,0.0,0.0,0.0,0.0
2015-05-04,0.025087807325641,4.109589041095885,0.0,0.0,0.0,0.740793352036649,0.9620253164556962,0.0,1.058527023242789,0.6344231598203793,0.2673267326732673,0.0009000900090009,0.013764624913971,0.0,0.0,0.0,0.0
2015-05-05,0.0250815149235084,1.3157894736842035,0.0,0.0,0.0,0.7571136388101475,1.0526315789473684,0.0,1.128042438111088,0.3723394291922337,-0.2009864364981504,-0.0530209617755857,0.688550840672538,0.0,0.0,0.0,0.0
2015-05-06,0.1253761283851462,-1.2987012987012991,0.0,0.0,0.0,0.7837572317432594,1.3017751479289943,0.0,1.1128860489882857,0.947096633262416,-0.3394160583941605,-0.0164233576642335,0.3738317757009345,0.0,0.0,0.0,0.0
2015-05-07,0.4007012271475263,1.3157894736842035,0.0,0.0,0.0,0.832255441812336,1.4330218068535825,0.0,1.0959464643450834,0.794421197429899,-0.3153937947494034,-0.0656324582338902,1.5492957746478873,0.0,0.0,0.0,0.0
2015-05-08,0.2743826390620985,0.0,0.0,0.0,0.0,0.8422394720066,1.2578616352201255,0.0,1.104006241731402,0.9145942046055954,-0.4384169230769231,-0.1123076923076923,2.147058823529412,0.0,0.0,0.0,0.0
2015-05-11,0.3731343283582156,-1.2987012987012991,0.0,0.0,0.0,0.8526187576126676,1.0149253731343284,0.0,1.092093714131389,1.0542659933977905,-0.3033033033033033,-0.049049049049049,2.192393736017897,0.0,0.0,0.0,0.0
2015-05-12,0.0991325898389128,0.0,0.0,0.0,0.0,0.8631158250710937,1.073446327683616,0.0,1.007085020242915,0.5900208996160371,-0.120189964157706,-0.1498207885304659,5.971428571428572,0.0,0.0,0.0,0.0
