Date,Model_CumRet,Benchmark_CumRet,Model_CumRet_Pct,Benchmark_CumRet_Pct
2024-03-15,0.14963817064923046,0.1032361910291757,14.963817064923045,10.323619102917569
2024-03-18,0.16259666173191034,0.11593373076714175,16.259666173191036,11.593373076714176
2024-03-19,0.16226673902570443,0.11466901900628423,16.226673902570443,11.466901900628423
2024-03-20,0.15875080729287516,0.11058560624943348,15.875080729287516,11.058560624943347
2024-03-21,0.18331094722162233,0.133990830969688,18.331094722162234,13.3990830969688
2024-03-22,0.18574746005709253,0.13572805526265408,18.57474600570925,13.572805526265409
2024-03-25,0.1813895530513956,0.13369895441657587,18.13895530513956,13.369895441657587
2024-03-26,0.18174452446619216,0.1300222974973213,18.174452446619217,13.00222974973213
2024-03-27,0.1828032880273056,0.13426477387884206,18.280328802730562,13.426477387884205
2024-03-28,0.179890720700719,0.13148765814420083,17.9890720700719,13.148765814420083
2024-03-29,0.18922185282482706,0.13991543117288407,18.922185282482708,13.991543117288408
2024-04-01,0.1806931124119917,0.1358655465329981,18.06931124119917,13.58655465329981
2024-04-02,0.19815804311751606,0.14959596019978627,19.815804311751606,14.959596019978626
2024-04-03,0.18905712605737968,0.14235882518517795,18.905712605737968,14.235882518517794
2024-04-08,0.19358204183456507,0.1468591301870794,19.358204183456508,14.685913018707941
2024-04-09,0.21797114469347467,0.16811985496100523,21.797114469347466,16.811985496100522
2024-04-10,0.21257448310781046,0.16628438548809577,21.257448310781047,16.628438548809577
2024-04-11,0.2137565862813644,0.16585293840157211,21.375658628136442,16.585293840157213
2024-04-12,0.21093559188452482,0.1655355908758822,21.09355918845248,16.55355908758822
2024-04-15,0.1991202799585976,0.14941506431290685,19.91202799585976,14.941506431290685
2024-04-16,0.17794476360024292,0.11862507690024571,17.79447636002429,11.862507690024572
2024-04-17,0.19250663748032526,0.1361259742322134,19.250663748032526,13.61259742322134
2024-04-18,0.19577013584414704,0.14109853185833954,19.577013584414704,14.109853185833954
2024-04-19,0.15355699537931233,0.09760112820814126,15.355699537931233,9.760112820814125
2024-04-22,0.1508345475432955,0.09108653710951842,15.083454754329551,9.108653710951842
2024-04-23,0.15928758165898915,0.10165699072934653,15.928758165898916,10.165699072934654
2024-04-24,0.18723952436315083,0.13158590332414466,18.723952436315084,13.158590332414466
