day,cost_$,turnover_$,pov
42,10.888028277311427,21774.694610595703,1.4960148533867365e-06
43,5.143511669182443,10286.735571593532,8.570580741809562e-07
44,7.32449263122162,14648.602738203741,8.498190234893552e-07
45,6.766251864420796,13532.038618741048,1.1080027589903978e-06
46,8.572725364876085,17144.91189377575,8.533609783664067e-07
47,7.116381461155687,14232.329861824976,1.1683336168187445e-06
48,7.42552663345312,14850.66132639389,7.753893774025105e-07
49,6.265773215235033,12531.225727639256,8.730644836768557e-07
50,6.954210435278177,13908.065137709253,6.747476199649397e-07
51,6.890587892294264,13780.822974119425,6.77244281305642e-07
52,6.9443708952560215,13888.387782425058,6.71415570284809e-07
53,5.699282785954586,11398.280087331234,6.61158027696215e-07
54,7.244226735655218,14487.96225519794,8.872900430738112e-07
55,5.465788584714083,10931.200532216066,9.058149235285369e-07
56,5.965255681383094,11930.1250305735,8.518925204224422e-07
57,5.588435245724628,11176.499089168337,8.596158228430959e-07
58,6.066456638759947,12132.523615993077,8.48624455794281e-07
59,7.944797727447538,15889.0095174581,9.448967581438761e-07
60,7.710605601260075,15420.634334584285,9.627307158148167e-07
61,6.204792383122665,12409.174266454767,7.884487564424795e-07
62,6.124653914093395,12248.902598283172,7.870920148352521e-07
63,4.297203001617732,8594.141090455414,7.30092832499092e-07
64,4.21652031640506,8432.781068794924,7.316312846876761e-07
65,4.27691963946446,8553.577297889831,7.277720763728343e-07
66,4.2826618902323235,8565.060935521877,7.279910622126484e-07
67,5.071823429762517,10143.33747832805,8.800406204461638e-07
68,5.282892028718165,10565.511465271087,6.782906544511223e-07
69,5.25859407429629,10516.920956096605,6.743457919676694e-07
70,4.5587313167766625,9117.302596808224,6.230471361721356e-07
71,4.785386130100791,9570.55380149197,7.89811988749928e-07
72,5.898856886964565,11797.454017868893,7.155882338243227e-07
73,4.371423934329503,8742.56870057739,1.149045013212143e-06
74,3.422147400778212,6844.073458067972,1.2882125820857349e-06
75,4.985411975417658,9970.394928600754,1.2562588883116466e-06
76,5.0950573476033085,10189.724095484427,1.2483556404108309e-06
77,5.17518307016859,10350.113513218894,6.637569329497816e-07
78,4.8026281303266956,9604.932555585494,8.481138662073626e-07
79,4.075319295413239,8150.384061808102,1.1288486216765622e-06
80,4.039475559723709,8078.780043483245,7.735238909784529e-07
81,4.0199660312317,8039.761619662127,7.734580034735939e-07
82,3.967443922937933,7934.719171067296,7.734314795535127e-07
83,4.890154571079881,9779.903821258999,1.4484185115589665e-06
84,4.0575714324752346,8114.888244607563,1.134891176242661e-06
85,2.359174760440739,4718.245477644344,7.533951122825655e-07
86,4.194929232239351,8389.721208463074,5.04524642348148e-07
87,3.240107865023001,6480.108402877165,5.064954341418557e-07
88,3.1162045705120236,6232.260901142379,7.982275794408403e-07
89,3.4699769930350755,6939.835931210089,4.7341951085494745e-07
90,3.4971700065295193,6994.221213782534,4.7476196499450856e-07
91,3.493402632922251,6986.68640693739,4.743832214752965e-07
92,3.4959099673237857,6991.7008063412695,4.740720874416559e-07
93,3.1647723027178927,6329.393546789079,7.969907462788599e-07
94,3.1791102020333897,6358.0681737335135,7.967686931553641e-07
95,3.5561696781007233,7112.216169189087,4.8273940718854e-07
96,3.163334201790397,6326.517207790397,7.96399703189579e-07
97,2.9708818387921547,5941.591374020583,1.2474708656915088e-06
98,3.0029579510420943,6005.800844539192,6.956411983171226e-07
99,2.4261148556829375,4852.103853406036,1.1468177332104953e-06
100,1.920621892154002,3841.1601886547205,9.580508483778813e-07
101,2.872140628353033,5744.127126949772,9.66513167987439e-07
102,3.6838428681522193,7367.466425686535,1.052659294788411e-06
103,4.029368089372351,8058.048871351546,2.030126430866247e-06
104,2.793304029560641,5586.313476976301,1.065257739593983e-06
105,2.5399746632145597,5079.783938911004,1.0136633337036686e-06
106,2.5637313784797335,5127.326847845153,1.0297712817561675e-06
107,1.3022083404333433,2604.3649059173795,5.204829625348969e-07
108,0.9166439109764499,1833.2579166358987,6.022712006237559e-07
109,1.6385577301483696,3277.064140023758,5.50769116956888e-07
110,1.6444321437085105,3288.812904282073,5.512237455528976e-07
111,0.9107402695613965,1821.450740443329,6.02742895204856e-07
112,0.9940015322119462,1987.9670427793114,6.79699475929134e-07
113,2.1030282049634144,4205.941161248162,7.937441914988014e-07
114,1.9876114342804156,3975.1105330969694,7.550825017768276e-07
115,0.8034795855920809,1606.9203363323768,4.5413021198236057e-07
116,0.8013146997608982,1602.5906530736768,4.5415139875172625e-07
117,0.5767681062308992,1153.5161426603704,3.5121607070257225e-07
118,1.4503241038661467,2900.5054864430085,1.1656109899732987e-06
119,0.5732359430905881,1146.4521546819094,3.4746910568569007e-07
120,0.9156247226356452,1831.2195376308798,6.027309659073601e-07
121,0.9196985458109138,1839.3671056534076,6.021669577076185e-07
122,0.5988900763590558,1197.7583029168047,3.68587730353031e-07
123,1.0015860452251353,2003.1269845114148,5.467695828517325e-07
124,1.04540879538585,2090.7566236753173,5.862225425856321e-07
125,1.4294404035237127,2858.8443022722577,5.553390287358986e-07
126,1.3968200086113258,2793.5405884386537,6.298951032943125e-07
127,1.3956264300761194,2791.152957554298,6.335495209148549e-07
128,1.3781246037284551,2756.151660552521,6.25742901552074e-07
129,1.3603216617027036,2720.5494073422033,6.080190256223684e-07
130,1.8478874327598143,3695.6065193055215,8.470183311912203e-07
131,1.5501337379496887,3100.1414556175187,7.693302694516119e-07
132,1.403936025204473,2807.7726844581935,6.457530061747816e-07
133,0.7170819913853617,1434.1298418367394,7.251202252531093e-07
134,0.38766478906579843,775.3185119687466,4.58800026790795e-07
135,0.14795228448660466,295.90350035223213,1.6810902435987144e-07
136,0.14863133097345033,297.2615859541828,1.687118545933035e-07
137,0.09422818261953868,188.4558511630836,1.1223527405675285e-07
138,0.46322359732902446,926.433520177085,5.451192243358281e-07
139,0.268513526932678,537.0223952865438,3.20703044911494e-07
140,0.35353106972527515,707.0539396333996,4.2866622873083645e-07
141,0.08780129053302779,175.60210959813884,1.0953425331080163e-07
142,0.6195808095354306,1239.1356834726912,7.727632153214834e-07
143,0.27205657509938974,544.1086959883772,3.3688006628896387e-07
144,0.2769284452899804,553.8523134980694,3.4182436796535846e-07
145,0.2766332024514995,553.2618647223533,3.3814415708848045e-07
146,0.18316182398043332,366.3216599533633,2.226573042896788e-07
147,0.8965023422989875,1792.9638187026228,7.704130201431483e-07
148,0.6323093096734345,1264.6050258954047,4.1204676748287433e-07
149,0.6392113389230105,1278.4087012587331,4.1959917960432763e-07
150,0.4564843458115606,912.9599585252822,3.6412770441167024e-07
151,0.33841243204020977,676.8190582710847,3.409308138121775e-07
152,0.33939665955657455,678.787495430287,3.4097044134951515e-07
153,0.3383730861087727,676.7403622654538,3.4112485351178975e-07
154,0.3369951990008754,673.9845990392805,3.4164008878012326e-07
155,0.3397521199215722,679.4961853800783,4.3771848210126213e-07
156,0.5243361239696168,1048.6523301357959,6.268863120830301e-07
157,0.43945516067370144,878.8963297514356,5.245074047994087e-07
158,0.4469329387979327,893.856274458663,4.82405638587976e-07
159,0.08832287107127615,176.6453654834209,9.575625687675154e-08
160,0.12422293393715914,248.4448383453597,1.3785165758615303e-07
161,0.3556642950183735,711.3239011346691,3.611673991416215e-07
162,0.3547801410273503,709.5556202495976,3.5914874809789853e-07
163,1.198449315808545,2396.822821436144,7.700565998466049e-07
164,0.3524587483493101,704.9129221110256,3.517328706713518e-07
165,1.1808501688533573,2361.6250275166935,7.765298949432791e-07
166,1.1782457878708934,2356.4168775031444,7.715485815579864e-07
167,0.34609769582602784,692.1919272065177,1.7994418471639169e-07
168,0.3443760438379674,688.7486415342871,1.7983938628180513e-07
169,0.3496079551044544,699.2124037636455,1.8060714908967928e-07
170,0.1599904478542028,319.9800242005833,1.0187683651974809e-07
171,0.32250050977443634,644.9975068144443,2.0398485272766563e-07
172,0.39733629591106523,794.6674220048701,2.7864473035686654e-07
173,0.491583702439883,983.1610499645523,2.8344944619370353e-07
174,0.2299412673925563,459.8808985763574,2.3748674014338182e-07
175,0.39751025359791925,795.0117304690584,4.5735009733676493e-07
176,0.9158585744026491,1831.700230292785,4.2613886720303575e-07
177,0.9190430253247962,1838.0690551192063,4.2685229085497715e-07
178,0.9723737127969684,1944.7330248467733,3.4619984608452975e-07
179,0.9748113549329852,1949.6075861060042,3.647383138653642e-07
180,0.9144507728573043,1828.883553377533,4.692126322067036e-07
181,0.20479358984195636,409.58205638574395,2.0176122835533414e-07
182,0.37146374000239435,742.9227257131226,2.774176552739157e-07
183,0.41001138076248,820.0136946739251,4.583295482070764e-07
184,0.41082437369982167,821.6395906653628,4.6332765304710034e-07
185,0.410747463605477,821.4857369113945,4.657902217120465e-07
186,0.4126128099283717,825.2164155103842,4.638656338348773e-07
187,0.4105263344151044,821.0435141929287,4.636447741279576e-07
188,0.41282439559970413,825.6395437684629,4.6653188259965473e-07
189,0.8389642163480138,1677.894260775202,4.479102005129129e-07
190,0.6030443292271005,1206.0695630926477,3.275985376939253e-07
191,0.4350691905375088,870.1322831043844,3.043053720013758e-07
192,0.4327069707210271,865.407869201154,3.042670339304292e-07
193,0.5842702268478245,1168.5221750856522,3.250731418391399e-07
194,0.41650892622314734,833.0120189058081,3.0420532515147525e-07
195,0.12196270337121941,243.923004947996,1.779360838722713e-07
196,0.24703465576861858,494.0640310180595,3.5046264428255615e-07
197,0.2512125049579488,502.4196248973858,3.511698481099585e-07
198,0.2506295326198999,501.25370396347387,3.506434244883518e-07
199,0.12748072616129127,254.96007420547937,1.7672168445043087e-07
200,0.2615501597123048,523.0946510121627,3.541106619259309e-07
201,0.266621850420323,533.2378947511422,3.554940099208928e-07
202,0.17868188947057762,357.36170812517787,2.1310058305894848e-07
203,0.06046675700673618,120.93332291584484,7.432349942319106e-08
204,0.06018712966277707,120.37407037766143,7.373940969867227e-08
205,0.06657996914785985,133.15972313143808,7.633079859215829e-08
206,0.06756347218725706,135.12672668894555,7.60545253012635e-08
207,0.148725689323722,297.45033436927,1.6083920608588142e-07
