date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^NDX
2024-07-10,23.800463,20.705154,27.183914,23.421063,24.972537
2024-07-11,22.121382,19.527802,27.200215,21.500919,22.167755
2024-07-12,22.462692,21.348085,29.083841,23.203959,22.893887
2024-07-15,22.871331,21.415453,29.182325,22.998144,23.228696
2024-07-16,23.061242,22.145757,31.040437,23.684623,23.299648
2024-07-17,21.834598,18.244753,31.297026,17.573190,19.676095
2024-07-18,21.111888,16.957852,29.831840,15.867746,19.107604
2024-07-19,20.978898,16.540530,28.600878,14.154487,18.004658
2024-07-22,21.148598,19.088067,29.695541,17.222994,19.819522
2024-07-23,21.142514,18.325622,28.646363,16.488149,19.405296
2024-07-24,20.335653,15.130249,26.636314,12.291724,15.041467
2024-07-25,20.295568,14.244341,26.116088,12.291480,13.821621
2024-07-26,20.485350,16.448090,27.416404,13.780784,14.988695
2024-07-29,20.536692,16.348918,28.115346,13.460092,15.205271
2024-07-30,20.514479,15.272654,28.484784,12.493097,13.614231
2024-07-31,20.700125,18.542140,29.978127,16.916831,17.036391
2024-08-01,20.665678,15.670913,27.228910,12.361152,14.183147
2024-08-02,20.606908,15.265940,24.645581,7.391488,11.465892
2024-08-05,20.168160,13.105312,20.910177,5.952255,8.167466
2024-08-06,20.264850,14.530470,21.590326,7.789217,9.272160
2024-08-07,20.147063,14.518392,21.094165,6.597839,7.999483
2024-08-08,20.465769,18.360883,22.989637,11.244483,11.302513
2024-08-09,20.485506,18.555918,22.917536,11.211743,11.902607
2024-08-12,20.445342,18.350769,21.929009,11.317073,12.077473
2024-08-13,20.777649,20.743906,24.753799,14.525125,14.884546
2024-08-14,20.765997,20.419482,24.243532,14.677075,14.982769
2024-08-15,21.167620,23.881551,27.666473,18.418740,17.808400
2024-08-16,21.207447,23.718453,28.319293,17.787275,17.919433
2024-08-19,21.383804,25.312682,30.300999,19.232498,19.478739
2024-08-20,21.386128,24.772449,30.874989,18.883862,19.196642
2024-08-21,21.518139,25.831001,31.249095,20.057470,19.831434
2024-08-22,21.353050,24.050690,29.880318,17.790277,17.818612
2024-08-23,21.454570,24.627109,32.407880,18.472292,19.202982
2024-08-26,21.184118,23.810652,32.118881,17.240504,17.967305
2024-08-27,21.251395,25.042353,31.879710,18.130340,18.360682
2024-08-28,20.750781,23.847134,30.464554,16.930402,16.965970
2024-08-29,20.931296,24.187636,30.833827,17.023849,16.812862
2024-08-30,21.815838,25.599542,32.464886,18.485822,18.319102
2024-09-03,20.612809,21.216207,30.332353,13.790093,14.596286
2024-09-04,20.476538,21.185467,31.364147,13.468320,14.370585
2024-09-05,20.647960,20.641237,31.736184,11.801107,14.424561
2024-09-06,19.448598,17.818816,29.329173,9.358034,11.347788
2024-09-09,20.249701,19.552581,30.746156,10.946322,12.795259
2024-09-10,20.925362,19.761605,30.942942,11.585083,13.812920
2024-09-11,22.173071,21.991201,31.238488,14.337385,16.280048
2024-09-12,22.644426,23.908482,32.662884,14.164837,17.402934
2024-09-13,22.937596,24.379215,34.342881,15.888813,17.956125
2024-09-16,22.439402,23.903422,35.118610,15.310375,17.402875
2024-09-17,22.722145,23.031186,35.137299,15.287024,17.459330
2024-09-18,22.641244,22.439850,34.779975,13.902099,16.927956
2024-09-19,24.304544,24.857415,36.980022,17.639368,19.922042
2024-09-20,24.102195,23.704544,36.297432,16.095358,19.629852
2024-09-23,24.108236,23.486529,37.107148,15.981528,19.996808
2024-09-24,24.057035,23.330827,37.608080,16.195454,20.556775
2024-09-25,23.999066,23.207794,37.232403,16.130839,20.724628
2024-09-26,24.220062,24.163871,38.823297,19.005354,21.588568
2024-09-27,23.998607,23.372550,38.641395,17.494800,20.942289
2024-09-30,24.711718,23.307684,38.512262,17.569215,21.257029
2024-10-01,23.597599,22.275034,37.315191,14.984309,19.519905
2024-10-02,23.551234,21.673417,37.055458,16.075188,19.696943
2024-10-03,23.469014,20.763006,35.518961,15.654913,19.641032
2024-10-04,23.995374,21.472750,37.886193,16.892349,21.101867
2024-10-07,22.845511,20.346813,37.323941,15.579718,19.685763
2024-10-08,23.660372,22.060659,39.084767,17.320444,21.541664
2024-10-09,23.782452,23.677881,40.607744,18.720012,22.515314
2024-10-10,23.630553,22.986651,39.963400,18.117137,22.351510
2024-10-11,23.918697,24.075493,41.809978,19.278018,22.534120
2024-10-14,24.649055,24.800183,42.229512,21.018123,23.544038
2024-10-15,24.585051,21.673292,39.287355,15.119820,21.856285
2024-10-16,24.449685,21.192713,39.706039,14.100630,21.942243
2024-10-17,24.127859,21.597407,39.393271,14.079657,22.041186
2024-10-18,24.377717,22.474681,40.878867,14.983387,22.848848
2024-10-21,24.435824,21.640417,40.163158,14.140493,23.075104
2024-10-22,24.547286,21.374935,40.514638,13.635370,23.250336
2024-10-23,24.000845,20.360354,38.798906,12.540295,21.294937
2024-10-24,24.032020,21.230868,41.997477,12.607686,22.297771
2024-10-25,24.425031,21.520712,42.269932,13.227280,23.017976
2024-10-28,24.631623,21.266061,43.292733,13.369095,23.012239
2024-10-29,25.332002,22.015504,43.905162,15.135141,24.218603
2024-10-30,26.039275,21.273139,42.375172,13.454999,23.233643
2024-10-31,24.901525,17.690395,40.511569,10.309451,20.227833
2024-11-01,25.819897,18.683986,40.943647,11.109071,21.090510
2024-11-04,25.409386,18.741440,40.192276,10.776024,20.670168
2024-11-05,25.942687,19.868511,41.150658,11.788397,22.265081
2024-11-06,28.071126,22.365639,46.134840,14.483606,25.612948
2024-11-07,29.102807,20.196601,48.767799,16.588321,27.548643
2024-11-08,28.838230,23.108892,50.257796,16.729119,27.642994
2024-11-11,29.093007,23.121333,55.263314,17.239939,27.578984
2024-11-12,29.415659,22.287307,55.967213,16.440083,27.362586
2024-11-13,29.326526,21.419763,55.037510,15.773327,27.153271
2024-11-14,28.806905,19.720059,53.552791,14.832277,26.310121
2024-11-15,27.148075,17.591109,51.477555,11.478894,23.272519
2024-11-18,27.831806,18.705901,54.589006,12.269423,24.149327
2024-11-19,28.445140,18.275166,55.985409,11.617282,25.028201
2024-11-20,28.154701,18.427960,58.561150,11.922094,24.922481
2024-11-21,27.041571,20.170750,56.536209,14.270380,25.367839
2024-11-22,26.759602,20.634507,58.969615,14.165805,25.582123
2024-11-25,27.644140,21.880069,60.586022,14.549811,25.755360
2024-11-26,28.870400,21.867007,57.937429,13.807539,26.468671
2024-11-27,28.425801,20.726861,58.851836,10.282932,25.390269
2024-11-29,28.882370,21.195204,59.825431,11.333060,26.513816
2024-12-02,29.931214,21.422420,60.194394,12.951562,27.929624
2024-12-03,30.375514,21.251517,59.296861,13.158280,28.320829
2024-12-04,31.649382,22.811431,61.995625,14.557586,29.910771
2024-12-05,31.664864,21.667036,60.382153,13.554223,29.504951
2024-12-06,32.459300,21.939180,61.806405,13.935491,30.695897
2024-12-09,32.795926,19.851723,59.973378,13.852959,29.599243
2024-12-10,34.065194,20.046694,60.399430,12.649304,29.160166
2024-12-11,36.065010,21.552182,63.932119,14.346108,31.552588
2024-12-12,35.727797,20.465915,63.309307,13.989220,30.653703
2024-12-13,35.561540,20.042098,62.808404,13.019243,31.650929
2024-12-16,36.868205,20.800369,62.981132,13.790029,33.563473
2024-12-17,36.853201,20.797437,62.724566,13.818797,32.985739
2024-12-18,33.710522,16.326549,54.661646,10.130416,28.199939
2024-12-19,33.925585,14.547881,52.214684,8.854584,27.602678
2024-12-20,34.911992,15.453039,55.615446,9.861806,28.682473
2024-12-23,35.407668,16.448623,54.972368,10.888642,29.976116
2024-12-24,36.414596,17.722300,58.040611,11.812320,31.756106
2024-12-26,36.212193,17.506218,57.026618,11.593815,31.578761
2024-12-27,35.268326,16.415793,54.895599,10.709921,29.793872
2024-12-30,34.644677,14.857314,51.525399,9.467217,28.126012
2024-12-31,34.169067,14.201488,50.224982,8.936409,27.008262
2025-01-02,33.644685,13.645230,50.001029,8.971501,26.787330
2025-01-03,34.103402,15.608777,53.653095,10.590484,28.906179
2025-01-06,35.162506,17.176421,56.370908,12.557726,30.316604
2025-01-07,34.665783,15.417131,53.775034,11.849853,27.980637
2025-01-08,34.230938,15.669023,52.905132,12.238798,28.028580
2025-01-10,33.586755,14.289617,49.152221,9.810278,26.013397
2025-01-13,33.415103,14.272062,49.422413,9.694766,25.633443
2025-01-14,33.438238,14.676875,50.645342,10.385818,25.468364
2025-01-15,33.580341,16.748271,52.800425,11.883419,28.372385
2025-01-16,33.654439,17.039833,53.821236,12.200386,27.486262
2025-01-17,33.859843,18.996754,57.118084,13.041788,29.601297
2025-01-21,34.084205,19.676146,58.317067,14.640979,30.358974
2025-01-22,34.207283,19.930699,59.830759,15.561479,32.090667
2025-01-23,34.253428,19.826849,60.264639,14.787698,32.380379
2025-01-24,34.000751,18.422989,57.814334,13.514587,31.613210
2025-01-27,33.630415,17.404529,52.429702,10.674298,27.704041
2025-01-28,33.484881,17.487682,51.838989,11.586324,29.733545
2025-01-29,33.683654,18.091312,52.683744,11.426964,29.421780
2025-01-30,34.126809,19.907336,55.197651,13.944047,30.006032
2025-01-31,34.071970,19.846999,54.096598,13.613830,29.824283
2025-02-03,34.143131,20.003639,53.673825,12.524199,28.733426
2025-02-04,34.251009,20.539418,53.515634,13.326230,30.361453
2025-02-05,34.680123,21.504002,55.642010,14.333711,30.912956
