date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^OEX
2024-08-19,21.696068,14.184158,3.466924,17.589067,21.915772
2024-08-20,21.838443,14.450514,3.168554,17.791157,21.777121
2024-08-21,21.986408,14.625514,4.533684,18.050472,22.110231
2024-08-22,21.876974,14.027060,2.123582,17.409172,20.746272
2024-08-23,22.180237,14.375350,4.322745,18.573351,22.181809
2024-08-26,22.086430,14.629889,2.756242,18.422919,21.750558
2024-08-27,22.127207,15.424192,3.868177,19.023060,21.951336
2024-08-28,21.801851,14.405525,2.847895,18.379171,21.082986
2024-08-29,22.004221,14.879515,3.712810,18.710115,20.844402
2024-08-30,22.916158,15.894354,6.661098,19.813757,22.111582
2024-09-03,21.952754,14.414585,1.772193,17.719195,19.295425
2024-09-04,21.872334,14.736547,3.676242,18.064301,19.071249
2024-09-05,21.718096,13.734026,3.553939,17.146389,18.936642
2024-09-06,20.607065,12.162353,0.561033,15.618652,16.564331
2024-09-09,21.463353,13.902140,2.444215,17.180501,17.941357
2024-09-10,22.087207,13.923439,3.231219,17.454953,18.647196
2024-09-11,22.985529,15.196202,5.231964,18.221083,20.324472
2024-09-12,23.465961,16.304921,4.744879,18.980822,21.349474
2024-09-13,23.861964,15.921658,6.834611,19.000963,21.788825
2024-09-16,23.842686,15.804745,6.726012,19.203764,21.707345
2024-09-17,23.951885,15.325100,8.105639,18.890220,21.721302
2024-09-18,23.806231,14.495548,7.768297,18.552137,21.374685
2024-09-19,25.258008,16.295906,11.744549,20.462623,23.655164
2024-09-20,25.194875,16.446043,10.086411,20.362819,23.436845
2024-09-23,25.272033,16.973398,10.962285,20.975930,23.703333
2024-09-24,25.263379,16.184196,11.724068,21.011038,24.128276
2024-09-25,25.103321,16.069556,11.304905,20.688705,24.079217
2024-09-26,25.361288,16.201157,12.350411,21.525405,24.420426
2024-09-27,25.321499,15.492196,12.381732,21.075616,24.118825
2024-09-30,25.996100,15.763381,12.534155,21.528630,24.782803
2024-10-01,25.112855,14.702579,10.833458,20.786485,23.425141
2024-10-02,25.162325,15.069733,8.715982,21.050588,23.442692
2024-10-03,25.022838,14.364756,9.633862,20.393230,23.344562
2024-10-04,25.709925,14.931798,14.119338,21.145473,24.607697
2024-10-07,24.768387,14.037802,12.779031,20.254868,23.365717
2024-10-08,25.382968,14.722872,13.485042,21.241376,24.795408
2024-10-09,25.643995,16.012778,14.546268,22.208746,25.639448
2024-10-10,25.451327,15.643424,13.711986,21.544829,25.435977
2024-10-11,25.929479,16.680706,14.646449,22.553876,25.906386
2024-10-14,26.564473,17.492887,15.682784,23.456474,26.876021
2024-10-15,26.485431,15.587399,14.427099,23.084550,25.959051
2024-10-16,26.646609,16.358114,17.991571,23.739076,26.488433
2024-10-17,26.449942,16.356216,16.821277,23.619689,26.579816
2024-10-18,26.642337,17.058872,17.086580,24.211569,27.101098
2024-10-21,26.501224,16.355081,18.518448,23.278810,27.206438
2024-10-22,26.559941,16.445802,18.510602,22.880267,27.436010
2024-10-23,26.108654,15.582423,19.844282,21.914210,25.940148
2024-10-24,26.096588,14.904801,26.804841,21.923867,26.330879
2024-10-25,26.172436,14.630950,25.373402,21.518249,26.486642
2024-10-28,26.509683,14.928625,23.608883,21.960145,26.800848
2024-10-29,26.867716,14.967613,27.490910,21.799285,27.156917
2024-10-30,27.373148,14.615167,26.888705,20.824344,26.670297
2024-10-31,26.528333,13.614678,28.597017,19.256199,24.062105
2024-11-01,27.289854,13.989582,28.421436,19.657014,24.736886
2024-11-04,26.867374,13.467468,26.057079,19.320304,24.178699
2024-11-05,27.442643,14.710212,34.439246,20.691244,25.622336
2024-11-06,29.983199,16.677718,42.695430,23.576293,28.924674
2024-11-07,30.520976,17.438225,42.929971,24.099620,30.112627
2024-11-08,30.407570,18.278245,44.732661,25.405855,30.439439
2024-11-11,30.951953,18.302704,48.166658,26.152161,30.375521
2024-11-12,31.062833,17.430902,37.614086,25.204954,30.216615
2024-11-13,30.995404,16.954467,41.523426,24.782893,30.252179
2024-11-14,30.631835,16.337282,38.508600,23.785320,29.621512
2024-11-15,29.627229,14.863466,40.096249,22.271264,27.634986
2024-11-18,30.157815,15.024373,38.184207,22.575206,28.143201
2024-11-19,30.508938,14.606940,44.125078,22.451040,28.902617
2024-11-20,30.364145,15.372911,45.227060,22.437414,28.739205
2024-11-21,29.799577,16.365850,44.138126,23.543515,28.938631
2024-11-22,29.772051,16.882349,48.101926,24.384929,29.152905
2024-11-25,30.494090,17.709297,39.939181,24.728317,29.342418
2024-11-26,31.475138,18.275731,43.901597,25.230246,30.316998
2024-11-27,31.115639,18.198316,42.486728,24.762548,29.786265
2024-11-29,31.442058,18.800944,42.017278,25.592613,30.674869
2024-12-02,32.078789,18.856416,43.465767,25.461808,31.301491
2024-12-03,32.298254,18.608162,41.145547,25.673218,31.587333
2024-12-04,33.246674,18.833686,45.968197,26.321381,32.651053
2024-12-05,33.362672,17.721129,47.778423,26.028397,32.707773
2024-12-06,33.948231,17.528423,47.133318,26.820482,33.230396
2024-12-09,34.054793,17.029992,42.434901,25.985495,32.464233
2024-12-10,35.018302,17.042336,39.153455,25.787484,32.330989
2024-12-11,36.456504,16.992991,46.018940,26.567979,33.782286
2024-12-12,36.170745,16.007262,40.264197,24.813344,32.968865
2024-12-13,35.918160,16.867750,41.081043,25.175135,33.184480
2024-12-16,36.798244,17.028237,43.416443,25.749218,34.042927
2024-12-17,36.774891,16.568067,39.622591,25.149655,33.767889
2024-12-18,34.258071,13.880802,34.950018,21.430420,29.847490
2024-12-19,34.506381,13.621695,41.395687,20.625358,29.985691
2024-12-20,35.305556,14.861414,45.536621,21.902260,31.257377
2024-12-23,35.613352,15.739850,46.453191,22.746939,32.468739
2024-12-24,36.406443,16.782517,47.428153,24.246891,34.076238
2024-12-26,36.259513,17.016685,45.704941,24.242473,33.986658
2024-12-27,35.544470,16.124409,41.866100,22.998026,32.354398
2024-12-30,35.051026,14.680087,40.301161,21.395660,30.895001
2024-12-31,34.721411,14.498221,39.819311,21.008664,30.104977
2025-01-02,34.264200,14.071720,43.659445,20.561390,29.771868
2025-01-03,34.604370,15.001351,49.412118,21.670898,31.431131
2025-01-06,35.227323,14.932947,50.933248,21.733519,32.450737
