Date,portfolio_equity,portfolio_cum_return,benchmark_cum_return,AXP_asset,AMGN_asset,AMZN_asset,AAPL_asset,BA_asset,CAT_asset,CSCO_asset,CVX_asset,GS_asset,HD_asset,HON_asset,IBM_asset,JNJ_asset,KO_asset,JPM_asset,MCD_asset,MMM_asset,MRK_asset,MSFT_asset,NVDA_asset,NKE_asset,PG_asset,TRV_asset,UNH_asset,CRM_asset,VZ_asset,V_asset,WMT_asset,DIS_asset,SHW_asset
2024-06-03,112406588.62942185,0.12406588629421855,0.022696309185348706,4144397.605141932,4354755.163080322,3290273.0035257717,3473359.5261924244,5027007.715634287,6227972.975362816,881439.6952595777,2643805.198720703,7840656.335447877,6354813.723213493,3552527.250733363,3063378.049922852,2559912.839776065,1061923.5267166772,3383947.8724976056,5128450.9104572395,1706935.3960328882,2036979.4845385214,7640236.687761143,1886122.4608041556,1833448.7427898461,2808055.8269305443,3855015.680900141,8887421.58169723,4823632.578570733,594539.733151415,4487903.622042732,1022504.6298193473,2018681.672086607,5816489.140613527
2024-06-04,112693806.47695214,0.1269380647695213,0.026415192049756397,4144397.605141932,4354755.163080322,3308722.0035257717,3479087.9861533623,5027007.715634287,6227972.975362816,881439.6952595777,2643805.198720703,7846170.328245728,6354813.723213493,3636223.143769251,3073200.829219727,2555408.045346215,1061923.5267166772,3383947.8724976056,5128450.9104572395,1687258.500082571,2041579.3935579916,7687349.266801669,1909690.5150949273,1833448.7427898461,2848304.7953753686,3842186.9142833203,8887421.58169723,4823632.578570733,594539.733151415,4487903.622042732,1034621.611325695,2018681.672086607,5889860.827747316
2024-06-05,113227324.96107744,0.13227324961077436,0.0289616314778276,4144397.605141932,4354755.163080322,3344513.1085672756,3506296.793404337,5027007.715634287,6227972.975362816,881439.6952595777,2643805.198720703,7956113.878294556,6354813.723213493,3672017.7032174934,3102300.114375977,2555408.045346215,1061923.5267166772,3383947.8724976056,5128450.9104572395,1694958.178625662,2053317.0835299154,7834046.263810947,2008143.0574151787,1833448.7427898461,2848304.9259850364,3819644.0303416704,8887421.58169723,4823632.578570733,594539.733151415,4487903.622042732,1042233.1185507316,2018681.672086607,5935886.343189211
2024-06-06,113148580.43686451,0.1314858043686451,0.031052143696821854,4144397.605141932,4354755.163080322,3413143.4110880275,3481414.690865276,5027007.715634287,6227972.975362816,887003.6366685961,2643805.198720703,7894422.010130495,6354813.723213493,3657629.46157931,3117498.213985352,2555408.045346215,1061923.5267166772,3383947.8724976056,5128450.9104572395,1680585.5177369902,2070288.8276857992,7843468.206926181,1984493.4046212945,1833448.7427898461,2848304.9259850364,3843469.8780436967,8887421.58169723,4823632.578570733,594539.733151415,4487903.622042732,1043165.3147863883,2018681.672086607,5855582.270252199
2024-06-07,112995500.0601212,0.129955000601212,0.028740503674242968,4144397.605141932,4354755.163080322,3400229.1673899074,3524556.121773479,5027007.715634287,6227972.975362816,879521.2088541124,2643805.198720703,7839450.23510608,6354813.723213493,3663419.9671640256,3151045.555782227,2555408.045346215,1061923.5267166772,3383947.8724976056,5128450.9104572395,1725756.621328909,2072668.0019182821,7831090.023210361,1982689.4635202202,1833448.7427898461,2848304.9259850364,3902849.702903316,8887421.58169723,4823632.578570733,594539.733151415,4487903.622042732,1023436.826055004,2018681.672086607,5622371.572620363
2024-06-10,113141322.50258096,0.13141322502580954,0.030571359029730516,4144397.605141932,4354755.163080322,3451148.3060465227,3457069.2870566812,5027007.715634287,6227972.975362816,879713.0106081102,2643805.198720703,7816014.533323853,6354813.723213493,3697810.911377894,3157902.764766602,2555408.045346215,1061923.5267166772,3383947.8724976056,5128450.9104572395,1722334.4816499539,2072033.8878862078,7905362.561662509,1997482.7331582818,1833448.7427898461,2848304.9259850364,3923110.020408199,8887421.58169723,4823632.578570733,594539.733151415,4487903.622042732,1040213.8228582877,2018681.672086607,5644710.589282961
2024-06-11,113266173.29849042,0.13266173298490425,0.02737323991072027,4144397.605141932,4354755.163080322,3454284.602265395,3708219.496773479,5027007.715634287,6227972.975362816,878178.2109674548,2643805.198720703,7656097.787596314,6354813.723213493,3675702.4895791877,3138257.206172852,2555408.045346215,1061923.5267166772,3383947.8724976056,5128450.9104572395,1733627.1896806543,2072033.8878862078,7994230.750627353,1983213.2732660086,1833448.7427898461,2848304.9259850364,3856988.756644771,8887421.58169723,4823632.578570733,596457.9882703295,4487903.622042732,1036641.1484884757,2018681.672086607,5700364.650928468
2024-06-12,113647160.85791959,0.13647160857919594,0.026439635216803703,4144397.605141932,4354755.163080322,3448012.0098276515,3814193.250923869,5027007.715634287,6227972.975362816,875300.2591966722,2643805.198720703,7732437.585569947,6354813.723213493,3658507.313843713,3132325.467891602,2555408.045346215,1061923.5267166772,3383947.8724976056,5128450.9104572395,1731745.0942979641,2072033.8878862078,8149056.550248935,2053577.3797036922,1833448.7427898461,2848304.9259850364,3817389.9161448926,8887421.58169723,4823632.578570733,586866.5596204272,4487903.622042732,1030116.4992498893,2018681.672086607,5763723.224170656
2024-06-13,113659294.9091378,0.13659294909137798,0.02471328475771739,4144397.605141932,4354755.163080322,3391558.1148691555,3835137.1749961353,5027007.715634287,6227972.975362816,873381.5475610826,2643805.198720703,7691941.205565064,6354813.723213493,3660788.1885995734,3134549.645625977,2555408.045346215,1064119.684092831,3383947.8724976056,5128450.9104572395,1737391.3804460354,2072033.8878862078,8158663.4731615335,2125910.0030252254,1833448.7427898461,2848304.9259850364,3813890.2906260947,8887421.58169723,4823632.578570733,587014.1289411059,4487903.622042732,1036174.8692678947,2018681.672086607,5756788.9818470795
2024-06-14,113655928.09070976,0.13655928090709768,0.023176990279698106,4144397.605141932,4354755.163080322,3388421.818650282,3803810.555001018,5027007.715634287,6227972.975362816,876451.3782075975,2643805.198720703,7693835.801878541,6354813.723213493,3659033.373185145,3136218.301875977,2555408.045346215,1064885.607192349,3383947.8724976056,5128450.9104572395,1726440.8592363189,2072033.8878862078,8176955.283464268,2163142.9863626277,1833448.7427898461,2848304.9259850364,3791420.279258295,8887421.58169723,4823632.578570733,585390.8664136401,4487903.622042732,1041145.7776236075,2018681.672086607,5756788.9818470795
